trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
558,False,"{'a': 0.009, 'e': 0.006591330856147967}",20,6,22.955783773516576,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.009, 'e': 0.006532275028294275}",20,16,7.913650339884363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.009, 'e': 0.006473748318289405}",30,11,33.730923040244875,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.009, 'e': 0.006415745985437854}",35,21,23.663935622965777,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.009, 'e': 0.006358263331518937}",25,0,37.874650145574655,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
563,False,"{'a': 0.009, 'e': 0.006301295700406267}",25,7,34.77646916806798,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
564,False,"{'a': 0.009, 'e': 0.0062448384776905685}",25,6,32.34339174798376,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.009, 'e': 0.006188887090305937}",20,3,29.414775716046368,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.009, 'e': 0.006133437006159409}",30,19,16.13048576090286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.009, 'e': 0.0060784837337638405}",30,16,25.819282826928017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.009, 'e': 0.006024022821874132}",35,18,34.490105405937,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.009, 'e': 0.0059700498591266325}",20,9,19.48763511958026,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.009, 'e': 0.005916560473681857}",20,14,11.149065386745141,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.009, 'e': 0.005863550332870343}",25,0,38.06511234446354,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
572,False,"{'a': 0.009, 'e': 0.005811015142841691}",25,12,23.973485444220447,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.009, 'e': 0.00575895064821679}",20,2,28.92680796405009,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.009, 'e': 0.005707352631743114}",25,15,15.491155576623632,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.009, 'e': 0.005656216913953108}",30,14,19.8930076096527,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.009, 'e': 0.005605539352825682}",20,14,9.229909279788973,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.009, 'e': 0.005555315843450668}",20,0,32.14080434182185,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
578,False,"{'a': 0.009, 'e': 0.00550554231769635}",30,16,24.60595098231471,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.009, 'e': 0.005456214743879933}",25,11,28.434747456087695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
580,False,"{'a': 0.009, 'e': 0.00540732912644096}",25,0,36.0294056709955,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
581,False,"{'a': 0.009, 'e': 0.005358881505617697}",35,11,38.97188369625946,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
582,False,"{'a': 0.009, 'e': 0.005310867957126362}",30,17,21.891941892221006,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.009, 'e': 0.005263284591843279}",35,24,24.288501239512215,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
584,False,"{'a': 0.009, 'e': 0.005216127555489849}",20,11,17.70458507904378,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
585,False,"{'a': 0.009, 'e': 0.0051693930283203335}",25,11,28.201424822395516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.009, 'e': 0.005123077224812486}",20,0,29.16161816515656,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
587,False,"{'a': 0.009, 'e': 0.005077176393360902}",25,13,21.068144550038454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
588,False,"{'a': 0.009, 'e': 0.005031686815973131}",20,15,10.257837271165602,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.009, 'e': 0.004986604807968539}",25,15,16.565607443359884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.009, 'e': 0.004941926717679822}",35,23,21.15268207575183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.009, 'e': 0.004897648926157242}",20,5,28.03150454027518,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.009, 'e': 0.004853767846875483}",25,3,34.7510029590133,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.009, 'e': 0.004810279925443121}",20,12,15.18414489333375,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.009, 'e': 0.004767181639314752}",30,20,18.344058878797792,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.009, 'e': 0.004724469497505626}",20,16,9.603951758693267,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.009, 'e': 0.00468214004030891}",30,18,24.53560981127249,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.009, 'e': 0.0046401898390154295}",30,11,33.27492200531874,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
598,False,"{'a': 0.009, 'e': 0.004598615495635935}",20,11,16.634437195546692,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.009, 'e': 0.004557413642625888}",20,13,13.052954171503648,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.009, 'e': 0.00451658094261267}",20,11,12.496760645651287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.009, 'e': 0.004476114088125247}",20,9,19.760285733206505,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
602,False,"{'a': 0.009, 'e': 0.004436009801326289}",30,23,13.177716740961447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.009, 'e': 0.004396264833746628}",30,19,18.64418468782009,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.009, 'e': 0.004356875966022165}",25,14,20.868849654194456,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.009, 'e': 0.0043178400076330815}",20,3,26.467544377827927,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.009, 'e': 0.004279153796645399}",30,7,33.18907131296924,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.009, 'e': 0.004240814199454881}",30,23,13.706083666962213,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.009, 'e': 0.004202818110533188}",20,12,16.45225176390017,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.009, 'e': 0.004165162452176344}",20,12,15.337351973360953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.009, 'e': 0.004127844174255439}",25,12,20.969398670468905,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.009, 'e': 0.00409086025396955}",25,18,13.236852628187041,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
612,False,"{'a': 0.009, 'e': 0.004054207695600917}",25,7,21.34494136754399,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
613,False,"{'a': 0.009, 'e': 0.004017883530272275}",20,7,22.224137935505418,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
