trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
699,False,"{'a': 0.009, 'e': 0.0018529061139795728}",25,16,13.268366736747339,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.009, 'e': 0.0018363047770289071}",20,2,25.614263477343844,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.009, 'e': 0.0018198521817691848}",20,4,25.646101420040043,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.009, 'e': 0.001803546995531191}",20,4,23.109964323112674,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.009, 'e': 0.0017873878975859273}",20,13,14.739163415877957,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.009, 'e': 0.0017713735790376266}",20,12,13.87667424281335,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.009, 'e': 0.0017555027427177273}",20,0,32.39211535288376,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
706,False,"{'a': 0.009, 'e': 0.0017397741030798137}",20,9,16.409750098667736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.009, 'e': 0.001724186386095472}",25,17,14.651375618610482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.009, 'e': 0.0017087383291511053}",25,13,20.006955595691778,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.009, 'e': 0.0016934286809456567}",20,11,14.246837566656017,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.009, 'e': 0.0016782562013892477}",20,14,13.574851606412615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.009, 'e': 0.001663219661502742}",25,11,22.455937883642118,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.009, 'e': 0.0016483178433181842}",20,13,12.81129139357646,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.009, 'e': 0.0016335495397801555}",20,8,21.672702078654467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.009, 'e': 0.0016189135546479958}",20,12,18.777476375144236,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.009, 'e': 0.0016044087023989048}",20,5,27.40100739978933,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.009, 'e': 0.0015900338081319208}",20,2,30.806175215474596,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.009, 'e': 0.0015757877074727502}",30,24,11.960506521689217,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.009, 'e': 0.0015616692464794479}",20,7,17.980681932748734,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.009, 'e': 0.0015476772815489568}",20,6,21.778842216668092,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.009, 'e': 0.0015338106793244643}",25,6,32.64543495916842,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.009, 'e': 0.0015200683166036108}",20,10,19.523828002743347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.009, 'e': 0.0015064490802475029}",25,9,30.110483296046866,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.009, 'e': 0.0014929518670905469}",20,2,25.184226900590335,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.009, 'e': 0.0014795755838511004}",20,12,12.21151170431788,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.009, 'e': 0.0014663191470429043}",30,14,31.55520429067508,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.009, 'e': 0.0014531814828873313}",30,20,19.570255400797592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.009, 'e': 0.0014401615272264022}",20,9,18.076080577194777,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.009, 'e': 0.0014272582254365878}",20,15,9.840606444503349,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.009, 'e': 0.0014144705323433893}",20,3,23.260307477652766,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.009, 'e': 0.0014017974121366757}",25,18,11.405411087075251,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.009, 'e': 0.0013892378382867787}",25,18,13.371868318436745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.009, 'e': 0.001376790793461352}",20,9,21.303393405952743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.009, 'e': 0.001364455269442957}",30,16,27.631663689025988,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.009, 'e': 0.0013522302670474046}",20,10,17.468039432600964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.009, 'e': 0.0013401147960428181}",25,7,31.677062215117825,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.009, 'e': 0.0013281078750694197}",35,25,17.206386790836866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.009, 'e': 0.001316208531560048}",30,11,33.97235971570031,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.009, 'e': 0.0013044158016613707}",25,2,32.48628846135875,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.009, 'e': 0.001292728730155819}",20,15,8.780660137911072,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.009, 'e': 0.0012811463703842126}",20,10,20.521325087385545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.009, 'e': 0.0012696677841690747}",25,18,11.852349031572109,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.009, 'e': 0.0012582920417386473}",30,16,24.755953169075966,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.009, 'e': 0.0012470182216515748}",35,0,44.64430898089979,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
744,False,"{'a': 0.009, 'e': 0.001235845410722264}",30,20,12.660442854365774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.009, 'e': 0.0012247727039469232}",20,7,21.169347637225826,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.009, 'e': 0.0012137992044302473}",25,11,21.70261892310702,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.009, 'e': 0.0012029240233127766}",25,15,18.054842713608846,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.009, 'e': 0.001192146279698896}",20,0,27.882480858023847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
749,False,"{'a': 0.009, 'e': 0.0011814651005854775}",20,5,24.572384494586924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.009, 'e': 0.0011708796207911755}",20,9,16.82366966134718,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.009, 'e': 0.0011603889828863366}",20,7,17.82952838402768,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.009, 'e': 0.0011499923371235557}",25,18,14.336412149704241,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.009, 'e': 0.0011396888413688431}",20,3,22.635735057785745,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.009, 'e': 0.0011294776610334067}",20,9,19.53932899572122,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.009, 'e': 0.0011193579690060578}",20,3,25.116814018341163,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.009, 'e': 0.0011093289455862097}",20,1,27.51439799542344,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.009, 'e': 0.0010993897784174807}",30,20,23.375203968195503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.009, 'e': 0.0010895396624218973}",25,11,25.48867364148156,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.009, 'e': 0.0010797777997346766}",25,8,28.750377507383757,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.009, 'e': 0.0010701033996396044}",30,20,22.160718954526978,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.009, 'e': 0.0010605156785049846}",25,12,26.303138712234066,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.009, 'e': 0.0010510138597201613}",25,14,19.910380444424487,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.009, 'e': 0.0010415971736326196}",20,12,14.661153234523002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.009, 'e': 0.001032264857485636}",25,12,22.705247998570467,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.009, 'e': 0.0010230161553565012}",20,15,9.692346031827354,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.009, 'e': 0.0010138503180952866}",25,18,15.130149193925703,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.009, 'e': 0.001004766603264161}",25,8,29.938092003327622,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.009, 'e': 0.0009957642750772586}",30,15,26.84764422069529,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,7,22.83027183110066,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,18,12.95225130211152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,3,23.322388057233688,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,16,16.61672499607372,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,12.59199516607531,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,18,20.795100582667732,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,20.21746309278658,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,15,25.651265828605933,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,8,32.92021223610837,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,30.064661341436366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,0,23.783572633041825,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,11,19.72627969224477,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,9,14.743905173467418,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,13,10.70380672436825,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,12,16.74677070926545,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,0,31.84862800738783,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,8,26.082502416178517,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,6,33.750174151956074,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,16,9.238427102483168,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,16,6.616236235159065,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,0,33.14456759634865,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0, 'e': 0}",25,19,12.289343211611634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,2,31.20253789922604,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,14,9.503595037959942,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,11,17.234246342763274,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,3,29.28095974653331,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",30,16,22.71524349621453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,3,30.514376001149174,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",25,3,37.678058244377056,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",25,10,22.165351845528704,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",20,9,16.860467699455395,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,3,25.4940241030016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",25,18,15.39793840884918,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",25,13,19.65743032509906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",20,8,17.332754241835733,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",30,20,17.872269627346867,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",30,13,26.082668413861573,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",30,17,22.745801914868252,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",25,9,30.187909578126828,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",20,10,19.208003753922775,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",20,12,17.102759283221342,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,14,10.655553839995326,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",25,17,19.26241197841838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",20,9,22.340328271397727,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",25,10,24.76287311384918,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",25,5,31.460823294747456,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",30,20,19.119951146864896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",30,18,25.942097123198167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",25,17,14.72724746642809,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",30,4,39.00772654087746,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0, 'e': 0}",30,18,18.790012950262405,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0, 'e': 0}",20,12,16.37199202125391,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0, 'e': 0}",20,0,23.720079184511953,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,True,"{'a': 0, 'e': 0}",25,1,36.185575715043804,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0, 'e': 0}",20,1,31.765205459111034,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0, 'e': 0}",20,16,6.117797797216131,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0, 'e': 0}",20,8,15.47399250026071,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0, 'e': 0}",20,9,14.891723627936631,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0, 'e': 0}",30,20,19.196218866726884,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0, 'e': 0}",35,18,30.067494375337418,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0, 'e': 0}",20,0,23.790378493208298,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,True,"{'a': 0, 'e': 0}",30,7,41.10928974524095,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0, 'e': 0}",20,3,29.86136240960279,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0, 'e': 0}",25,19,12.332958043913804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",20,0,27.949853150008927,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,True,"{'a': 0, 'e': 0}",20,14,10.94356719752244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0, 'e': 0}",25,3,34.167417060305525,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0, 'e': 0}",20,16,6.2845328110238405,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0, 'e': 0}",25,14,20.845021098744795,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",25,6,27.68584526122527,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0, 'e': 0}",25,8,31.89202855826158,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0, 'e': 0}",30,21,14.42928066300066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0, 'e': 0}",20,8,20.782313360598373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",25,17,16.587896875644645,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0, 'e': 0}",20,9,24.27422781023341,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,8,21.00729613728318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0, 'e': 0}",25,12,21.449561733487354,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,0,30.107978608452935,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,True,"{'a': 0, 'e': 0}",20,2,27.188743727067326,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",20,16,7.213543228948799,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",20,14,8.36395703681201,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",25,10,28.435586412741877,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",20,14,12.750683927877903,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",30,0,40.76925337593734,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,True,"{'a': 0, 'e': 0}",25,17,18.353159700234794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0, 'e': 0}",25,0,34.00438985788461,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,True,"{'a': 0, 'e': 0}",25,13,16.833017030608985,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",35,15,34.38426469929354,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",20,10,15.238180567304289,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",20,16,6.851513537935454,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",20,10,20.91035374213204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",30,20,17.41080673851755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",25,0,30.0177677818953,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,True,"{'a': 0, 'e': 0}",25,0,42.461239632238055,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,True,"{'a': 0, 'e': 0}",30,21,16.93537979060443,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",25,15,17.857713181588007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",30,17,25.55445036254382,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",35,14,32.6043495136415,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",30,16,21.013931478027878,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",30,13,30.927284795242656,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
